PID,mods_identifier_hdl_s
islandora:13013,http://hdl.handle.net/10560/1373
islandora:14177,http://hdl.handle.net/10560/2730
islandora:10808,http://hdl.handle.net/10560/1935
islandora:11023,http://hdl.handle.net/10560/1634
islandora:11391,http://hdl.handle.net/10560/1868
islandora:11033,http://hdl.handle.net/10560/1610
islandora:13473,
islandora:14758,http://hdl.handle.net/10560/1703
islandora:11790,http://hdl.handle.net/10560/1646
islandora:10869,http://hdl.handle.net/10560/1944
islandora:11077,http://hdl.handle.net/10560/1414
islandora:12982,http://hdl.handle.net/10560/1517
islandora:11080,http://hdl.handle.net/10560/1414
islandora:11401,http://hdl.handle.net/10560/1875
islandora:10308,http://hdl.handle.net/10560/1090
islandora:8045,http://hdl.handle.net/10560/663
islandora:11503,http://hdl.handle.net/10560/2738
islandora:8106,http://hdl.handle.net/10560/746
islandora:9414,http://hdl.handle.net/10560/196
islandora:9884,http://hdl.handle.net/10560/4112
islandora:14637,http://hdl.handle.net/10560/2090
islandora:13634,http://hdl.handle.net/10560/979
islandora:12051,http://hdl.handle.net/10560/1384
islandora:14606,http://hdl.handle.net/10560/2042
islandora:10948,http://hdl.handle.net/10560/2105
islandora:14012,http://hdl.handle.net/10560/1842
islandora:9756,http://hdl.handle.net/10560/2413
islandora:12266,http://hdl.handle.net/10560/1499
islandora:12398,http://hdl.handle.net/10560/1527
islandora:13069,http://hdl.handle.net/10560/2779
islandora:11754,http://hdl.handle.net/10560/1623
islandora:9797,http://hdl.handle.net/10560/2445
islandora:11834,http://hdl.handle.net/10560/1656
islandora:11694,http://hdl.handle.net/10560/1624
islandora:11215,
islandora:12959,http://hdl.handle.net/10560/1563
islandora:10549,http://hdl.handle.net/10560/1733
islandora:13117,http://hdl.handle.net/10560/1475
islandora:13607,http://hdl.handle.net/10560/1798
islandora:10128,http://hdl.handle.net/10560/4275
islandora:13175,http://hdl.handle.net/10560/1568
islandora:13014,http://hdl.handle.net/10560/1372
islandora:14614,http://hdl.handle.net/10560/1984
islandora:12639,http://hdl.handle.net/10560/1545
islandora:14503,http://hdl.handle.net/10560/1728
islandora:9022,http://hdl.handle.net/10560/3457
islandora:9427,http://hdl.handle.net/10560/216
islandora:12671,http://hdl.handle.net/10560/1701
islandora:12137,http://hdl.handle.net/10560/1671
islandora:9825,http://hdl.handle.net/10560/2661
islandora:13519,http://hdl.handle.net/10560/1424
islandora:14054,http://hdl.handle.net/10560/1851
islandora:11347,http://hdl.handle.net/10560/1882
islandora:14066,http://hdl.handle.net/10560/1942
islandora:9727,http://hdl.handle.net/10560/2374
islandora:8854,http://hdl.handle.net/10560/683
islandora:9384,http://hdl.handle.net/10560/2670
islandora:13241,http://hdl.handle.net/10560/1708
islandora:13907,http://hdl.handle.net/10560/1828
islandora:12725,http://hdl.handle.net/10560/1707
islandora:14262,http://hdl.handle.net/10560/1463
islandora:13070,http://hdl.handle.net/10560/2779
islandora:11891,http://hdl.handle.net/10560/1391
islandora:11637,http://hdl.handle.net/10560/949
islandora:13950,http://hdl.handle.net/10560/1825
islandora:11540,http://hdl.handle.net/10560/2712
islandora:10159,http://hdl.handle.net/10560/2228
islandora:9159,http://hdl.handle.net/10560/3732
islandora:12587,http://hdl.handle.net/10560/1398
islandora:13712,http://hdl.handle.net/10560/2742
islandora:13569,http://hdl.handle.net/10560/1712
islandora:12949,http://hdl.handle.net/10560/1459
islandora:14527,http://hdl.handle.net/10560/1670
islandora:12624,http://hdl.handle.net/10560/1542
islandora:12462,http://hdl.handle.net/10560/1681
islandora:13758,http://hdl.handle.net/10560/1800
islandora:13364,http://hdl.handle.net/10560/1778
islandora:14211,http://hdl.handle.net/10560/1420
islandora:10608,http://hdl.handle.net/10560/1745
islandora:10260,http://hdl.handle.net/10560/1885
islandora:13769,http://hdl.handle.net/10560/1916
islandora:14340,http://hdl.handle.net/10560/925
islandora:9207,http://hdl.handle.net/10560/2365
islandora:13838,http://hdl.handle.net/10560/1919
islandora:14706,http://hdl.handle.net/10560/1446
islandora:9364,http://hdl.handle.net/10560/70
islandora:12560,http://hdl.handle.net/10560/1685
islandora:14046,http://hdl.handle.net/10560/1848
islandora:9538,http://hdl.handle.net/10560/448
islandora:13309,http://hdl.handle.net/10560/1782
islandora:9831,http://hdl.handle.net/10560/2674
islandora:13513,http://hdl.handle.net/10560/1496
islandora:10813,http://hdl.handle.net/10560/1936
islandora:9651,http://hdl.handle.net/10560/2202
islandora:11370,http://hdl.handle.net/10560/1863
islandora:11537,http://hdl.handle.net/10560/2761
islandora:9618,http://hdl.handle.net/10560/2162
islandora:13952,http://hdl.handle.net/10560/1823
islandora:9868,http://hdl.handle.net/10560/3108
islandora:13049,http://hdl.handle.net/10560/1483
islandora:12677,http://hdl.handle.net/10560/1697
islandora:12160,http://hdl.handle.net/10560/1494
islandora:14003,
islandora:12972,http://hdl.handle.net/10560/1710
islandora:11613,http://hdl.handle.net/10560/1617
islandora:11532,http://hdl.handle.net/10560/2761
islandora:10316,http://hdl.handle.net/10560/1097
islandora:13612,http://hdl.handle.net/10560/1915
islandora:14455,http://hdl.handle.net/10560/1436
islandora:13977,http://hdl.handle.net/10560/1831
islandora:10715,http://hdl.handle.net/10560/1754
islandora:12586,http://hdl.handle.net/10560/1398
islandora:10775,http://hdl.handle.net/10560/1756
islandora:13747,http://hdl.handle.net/10560/1797
islandora:9638,http://hdl.handle.net/10560/2207
islandora:14633,http://hdl.handle.net/10560/2048
islandora:11590,http://hdl.handle.net/10560/1631
islandora:14424,http://hdl.handle.net/10560/1606
islandora:9853,http://hdl.handle.net/10560/2735
islandora:11229,http://hdl.handle.net/10560/1493
islandora:13257,http://hdl.handle.net/10560/1730
islandora:13217,http://hdl.handle.net/10560/1724
islandora:12150,http://hdl.handle.net/10560/1972
islandora:8054,http://hdl.handle.net/10560/3029
islandora:11784,http://hdl.handle.net/10560/1639
islandora:10184,http://hdl.handle.net/10560/2217
islandora:13424,http://hdl.handle.net/10560/1806
islandora:11205,http://hdl.handle.net/10560/1614
islandora:12667,http://hdl.handle.net/10560/1704
islandora:9244,http://hdl.handle.net/10560/4157
islandora:14241,http://hdl.handle.net/10560/1608
islandora:13449,http://hdl.handle.net/10560/1380
islandora:14729,http://hdl.handle.net/10560/1506
islandora:12461,http://hdl.handle.net/10560/1681
islandora:14040,http://hdl.handle.net/10560/1938
islandora:14315,http://hdl.handle.net/10560/946
islandora:9438,http://hdl.handle.net/10560/227
islandora:12060,http://hdl.handle.net/10560/1387
islandora:10840,http://hdl.handle.net/10560/1940
islandora:10999,http://hdl.handle.net/10560/1595
islandora:12862,http://hdl.handle.net/10560/1692
islandora:10985,http://hdl.handle.net/10560/1579
islandora:13875,http://hdl.handle.net/10560/1818
islandora:14701,http://hdl.handle.net/10560/1446
islandora:10758,http://hdl.handle.net/10560/1755
islandora:9593,http://hdl.handle.net/10560/2140
islandora:10996,http://hdl.handle.net/10560/1591
islandora:14733,http://hdl.handle.net/10560/1702
islandora:11849,http://hdl.handle.net/10560/1654
islandora:12056,http://hdl.handle.net/10560/1384
islandora:10494,http://hdl.handle.net/10560/1764
islandora:8959,http://hdl.handle.net/10560/2903
islandora:11356,http://hdl.handle.net/10560/1859
islandora:14044,http://hdl.handle.net/10560/2024
islandora:14465,http://hdl.handle.net/10560/1377
islandora:10149,http://hdl.handle.net/10560/4296
islandora:14230,http://hdl.handle.net/10560/1464
islandora:13861,http://hdl.handle.net/10560/1922
islandora:12141,http://hdl.handle.net/10560/1428
islandora:11869,http://hdl.handle.net/10560/1642
islandora:12573,http://hdl.handle.net/10560/1533
islandora:9392,http://hdl.handle.net/10560/136
islandora:9437,http://hdl.handle.net/10560/226
islandora:13756,http://hdl.handle.net/10560/1815
islandora:14190,http://hdl.handle.net/10560/1632
islandora:11662,http://hdl.handle.net/10560/926
islandora:9412,http://hdl.handle.net/10560/194
islandora:13631,http://hdl.handle.net/10560/1890
islandora:11924,http://hdl.handle.net/10560/1410
islandora:13823,http://hdl.handle.net/10560/1811
islandora:10980,http://hdl.handle.net/10560/1588
islandora:12174,http://hdl.handle.net/10560/1674
islandora:11373,http://hdl.handle.net/10560/958
islandora:13622,http://hdl.handle.net/10560/1802
islandora:bookCollection,
islandora:9706,http://hdl.handle.net/10560/2334
islandora:12824,http://hdl.handle.net/10560/1479
islandora:14088,http://hdl.handle.net/10560/1948
islandora:13765,http://hdl.handle.net/10560/1800
islandora:10555,http://hdl.handle.net/10560/1743
islandora:8835,http://hdl.handle.net/10560/3160
islandora:12172,http://hdl.handle.net/10560/1674
islandora:9784,http://hdl.handle.net/10560/2433
islandora:10192,http://hdl.handle.net/10560/2253
islandora:13225,http://hdl.handle.net/10560/1719
islandora:11174,http://hdl.handle.net/10560/1469
islandora:13039,http://hdl.handle.net/10560/1986
islandora:14362,http://hdl.handle.net/10560/717
islandora:11611,http://hdl.handle.net/10560/1956
islandora:11778,http://hdl.handle.net/10560/1643
islandora:13008,http://hdl.handle.net/10560/1376
islandora:13604,http://hdl.handle.net/10560/1798
islandora:9440,http://hdl.handle.net/10560/229
islandora:13404,http://hdl.handle.net/10560/1914
islandora:14580,http://hdl.handle.net/10560.2/44464446
islandora:12178,http://hdl.handle.net/10560/1676
islandora:9466,http://hdl.handle.net/10560/260
islandora:13864,http://hdl.handle.net/10560/2014
islandora:14303,http://hdl.handle.net/10560/948
islandora:11768,http://hdl.handle.net/10560/1658
islandora:10504,http://hdl.handle.net/10560/1732
islandora:11048,http://hdl.handle.net/10560/1471
islandora:11070,http://hdl.handle.net/10560/1609
islandora:12240,http://hdl.handle.net/10560/1677
islandora:9457,http://hdl.handle.net/10560/252
islandora:13310,http://hdl.handle.net/10560/1782
islandora:14270,http://hdl.handle.net/10560/1611
islandora:14369,http://hdl.handle.net/10560/1625
islandora:11614,http://hdl.handle.net/10560/1617
islandora:11035,http://hdl.handle.net/10560/1478
islandora:9659,http://hdl.handle.net/10560/2278
islandora:11357,http://hdl.handle.net/10560/1866
islandora:11603,http://hdl.handle.net/10560/1621
islandora:9263,http://hdl.handle.net/10560/3843
islandora:11010,http://hdl.handle.net/10560/1468
islandora:11667,http://hdl.handle.net/10560/945
islandora:14618,http://hdl.handle.net/10560/2027
islandora:13842,http://hdl.handle.net/10560/1919
islandora:12564,http://hdl.handle.net/10560/1447
islandora:14350,http://hdl.handle.net/10560/1612
islandora:13263,http://hdl.handle.net/10560/1717
islandora:13512,http://hdl.handle.net/10560/1496
islandora:12611,http://hdl.handle.net/10560/1541
islandora:13462,http://hdl.handle.net/10560/1430
islandora:11652,http://hdl.handle.net/10560/715
islandora:10540,http://hdl.handle.net/10560/1740
islandora:12294,http://hdl.handle.net/10560/1402
islandora:13902,http://hdl.handle.net/10560/1828
islandora:12385,http://hdl.handle.net/10560/1432
islandora:14184,http://hdl.handle.net/10560/2111
islandora:12592,http://hdl.handle.net/10560/1448
islandora:11460,http://hdl.handle.net/10560/2708
islandora:14041,http://hdl.handle.net/10560/1938
islandora:10134,http://hdl.handle.net/10560/4281
islandora:10739,http://hdl.handle.net/10560/1761
islandora:9195,http://hdl.handle.net/10560/3551
islandora:9003,http://hdl.handle.net/10560/2912
islandora:10526,http://hdl.handle.net/10560/1737
islandora:12175,http://hdl.handle.net/10560/1674
islandora:9728,http://hdl.handle.net/10560/2375
islandora:12368,http://hdl.handle.net/10560/1425
islandora:9820,http://hdl.handle.net/10560/2664
islandora:13802,http://hdl.handle.net/10560/2010
islandora:11376,http://hdl.handle.net/10560/1867
islandora:12515,http://hdl.handle.net/10560/1689
islandora:14722,http://hdl.handle.net/10560/1449
islandora:12387,http://hdl.handle.net/10560/1432
islandora:11586,http://hdl.handle.net/10560/947
islandora:10960,http://hdl.handle.net/10560/2776
islandora:11825,http://hdl.handle.net/10560/1652
islandora:12324,http://hdl.handle.net/10560/1393
islandora:8043,http://hdl.handle.net/10560/3780
islandora:13387,http://hdl.handle.net/10560/1787
islandora:9771,http://hdl.handle.net/10560/2422
islandora:13055,http://hdl.handle.net/10560/2761
islandora:13957,http://hdl.handle.net/10560/1823
islandora:13506,http://hdl.handle.net/10560/1486
islandora:8100,http://hdl.handle.net/10560/2809
islandora:10893,http://hdl.handle.net/10560/2032
islandora:9785,http://hdl.handle.net/10560/2434
islandora:8965,http://hdl.handle.net/10560/3105
islandora:11250,http://hdl.handle.net/10560/930
islandora:10772,http://hdl.handle.net/10560/1756
islandora:13219,http://hdl.handle.net/10560/1724
islandora:14461,http://hdl.handle.net/10560/1404
islandora:9213,http://hdl.handle.net/10560/2552
islandora:13755,http://hdl.handle.net/10560/1815
islandora:13258,http://hdl.handle.net/10560/1717
islandora:13555,http://hdl.handle.net/10560/1693
islandora:14594,http://hdl.handle.net/10560.2/44464446
islandora:9559,http://hdl.handle.net/10560/467
islandora:14378,http://hdl.handle.net/10560/721
islandora:10714,http://hdl.handle.net/10560/1754
islandora:9762,http://hdl.handle.net/10560/2391
islandora:9340,http://hdl.handle.net/10560/46
islandora:9689,http://hdl.handle.net/10560/2312
islandora:14017,http://hdl.handle.net/10560/1843
islandora:13808,http://hdl.handle.net/10560/1809
islandora:14246,http://hdl.handle.net/10560/1439
