PID,mods_identifier_hdl_s
islandora:10357,http://hdl.handle.net/10560/1142
islandora:10346,http://hdl.handle.net/10560/1143
islandora:10271,http://hdl.handle.net/10560/1144
islandora:10356,http://hdl.handle.net/10560/1145
islandora:12434,http://hdl.handle.net/10560/1148
islandora:12426,http://hdl.handle.net/10560/1149
islandora:6850,http://hdl.handle.net/10560/115
islandora:10244,http://hdl.handle.net/10560/1151
islandora:10245,http://hdl.handle.net/10560/1152
islandora:10246,http://hdl.handle.net/10560/1153
islandora:11581,http://hdl.handle.net/10560/1155
islandora:14611,http://hdl.handle.net/10560/1157
islandora:14613,http://hdl.handle.net/10560/1158
islandora:14605,http://hdl.handle.net/10560/1159
islandora:6935,http://hdl.handle.net/10560/116
islandora:14612,http://hdl.handle.net/10560/1160
islandora:13438,http://hdl.handle.net/10560/1161
islandora:11622,http://hdl.handle.net/10560/1162
islandora:11620,http://hdl.handle.net/10560/1163
islandora:11624,http://hdl.handle.net/10560/1164
islandora:6942,http://hdl.handle.net/10560/117
islandora:7094,http://hdl.handle.net/10560/118
islandora:9378,http://hdl.handle.net/10560/119
islandora:9379,http://hdl.handle.net/10560/120
islandora:9380,http://hdl.handle.net/10560/121
islandora:16303,http://hdl.handle.net/10560/1213
islandora:9381,http://hdl.handle.net/10560/122
islandora:9382,http://hdl.handle.net/10560/123
islandora:9383,http://hdl.handle.net/10560/124
islandora:9386,http://hdl.handle.net/10560/125
islandora:9387,http://hdl.handle.net/10560/126
islandora:7332,http://hdl.handle.net/10560/128
islandora:16302,http://hdl.handle.net/10560/1284
islandora:7433,http://hdl.handle.net/10560/129
islandora:7443,http://hdl.handle.net/10560/130
islandora:7682,http://hdl.handle.net/10560/131
islandora:9388,http://hdl.handle.net/10560/132
islandora:12772,http://hdl.handle.net/10560/1323
islandora:12451,http://hdl.handle.net/10560/1325
islandora:12799,http://hdl.handle.net/10560/1326
islandora:12791,http://hdl.handle.net/10560/1327
islandora:9389,http://hdl.handle.net/10560/133
islandora:9390,http://hdl.handle.net/10560/134
islandora:10251,http://hdl.handle.net/10560/1349
islandora:9391,http://hdl.handle.net/10560/135
islandora:12798,http://hdl.handle.net/10560/1352
islandora:12446,http://hdl.handle.net/10560/1353
islandora:12405,http://hdl.handle.net/10560/1354
islandora:15590,http://hdl.handle.net/10560/1355
islandora:12520,http://hdl.handle.net/10560/1356
islandora:12819,http://hdl.handle.net/10560/1357
islandora:12895,http://hdl.handle.net/10560/1358
islandora:12828,http://hdl.handle.net/10560/1359
islandora:9392,http://hdl.handle.net/10560/136
islandora:12894,http://hdl.handle.net/10560/1360
islandora:12700,http://hdl.handle.net/10560/1361
islandora:12821,http://hdl.handle.net/10560/1362
islandora:13031,http://hdl.handle.net/10560/1366
islandora:15489,http://hdl.handle.net/10560/1367
islandora:14487,http://hdl.handle.net/10560/1368
islandora:15597,http://hdl.handle.net/10560/1369
islandora:9393,http://hdl.handle.net/10560/137
islandora:15599,http://hdl.handle.net/10560/1370
islandora:14291,http://hdl.handle.net/10560/1371
islandora:13014,http://hdl.handle.net/10560/1372
